TOPIC,CATEGORY,CODE_CHAPITRE,CODE_SS_FONCTION,CODE_ARTICLE
ADMINISTRATIF,Fiscalité,11,20,637
ADMINISTRATIF,Fiscalité,14,1,7391172
ADMINISTRATIF,Fiscalité,14,20,739118
ADMINISTRATIF,Fiscalité,11,20,6355
ADMINISTRATIF,Fiscalité,11,20,6358
ADMINISTRATIF,Fiscalité,11,20,6184
ADMINISTRATIF,Fiscalité,11,20,63512
ADMINISTRATIF,Fiscalité,14,1,7391172
ADMINISTRATIF,Fiscalité,11,48,637
ADMINISTRATIF,Immobilier,11,20,614
ADMINISTRATIF,Immobilier,11,20,6132
ADMINISTRATIF,Immobilier,11,20,6135
ADMINISTRATIF,Immobilier,11,20,61522
ADMINISTRATIF,Immobilier,11,20,63512
ADMINISTRATIF,Immobilier,11,22,6132
ADMINISTRATIF,Immobilier,23,20,2313
ADMINISTRATIF,Immobilier,11,20,61522
ADMINISTRATIF,Immobilier,11,20,6132
ADMINISTRATIF,Immobilier,11,20,614
ADMINISTRATIF,Immobilier,11,20,6283
ADMINISTRATIF,Immobilier,11,20,616
ADMINISTRATIF,Immobilier,11,20,6135
ADMINISTRATIF,Immobilier,11,20,61558
ADMINISTRATIF,Immobilier,11,323,6283
ADMINISTRATIF,Immobilier,23,48,2313
ADMINISTRATIF,Immobilier,11,48,6283
ADMINISTRATIF,Immobilier,11,23,6283
ADMINISTRATIF,Immobilier,11,23,61522
ADMINISTRATIF,Immobilier,11,23,6132
ADMINISTRATIF,Immobilier,11,20,61521
ADMINISTRATIF,"Frais de fonctionnement",11,20,6241
ADMINISTRATIF,"Frais de fonctionnement",11,20,6244
ADMINISTRATIF,"Frais de fonctionnement",11,20,6247
ADMINISTRATIF,"Frais de fonctionnement",11,20,6248
ADMINISTRATIF,"Frais de fonctionnement",11,20,6251
ADMINISTRATIF,"Frais de fonctionnement",11,20,6255
ADMINISTRATIF,"Frais de fonctionnement",11,20,6256
ADMINISTRATIF,"Frais de fonctionnement",11,20,6257
ADMINISTRATIF,"Frais de fonctionnement",11,20,6261
ADMINISTRATIF,"Frais de fonctionnement",11,20,6262
ADMINISTRATIF,"Frais de fonctionnement",11,20,6281
ADMINISTRATIF,"Frais de fonctionnement",11,20,6282
ADMINISTRATIF,"Frais de fonctionnement",11,20,6283
ADMINISTRATIF,"Frais de fonctionnement",11,20,6288
ADMINISTRATIF,"Frais de fonctionnement",11,20,60611
ADMINISTRATIF,"Frais de fonctionnement",11,20,60612
ADMINISTRATIF,"Frais de fonctionnement",11,20,60621
ADMINISTRATIF,"Frais de fonctionnement",11,20,60623
ADMINISTRATIF,"Frais de fonctionnement",11,20,60628
ADMINISTRATIF,"Frais de fonctionnement",11,323,6042
ADMINISTRATIF,"Frais de fonctionnement",11,323,6064
ADMINISTRATIF,"Frais de fonctionnement",11,323,6065
ADMINISTRATIF,"Frais de fonctionnement",11,323,6068
ADMINISTRATIF,"Frais de fonctionnement",11,323,6156
ADMINISTRATIF,"Frais de fonctionnement",11,323,6182
ADMINISTRATIF,"Frais de fonctionnement",11,323,6236
ADMINISTRATIF,"Frais de fonctionnement",11,323,6247
ADMINISTRATIF,"Frais de fonctionnement",11,323,6257
ADMINISTRATIF,"Frais de fonctionnement",11,323,6261
ADMINISTRATIF,"Frais de fonctionnement",11,323,6281
ADMINISTRATIF,"Frais de fonctionnement",11,323,6283
ADMINISTRATIF,"Frais de fonctionnement",11,323,60632
ADMINISTRATIF,"Frais de fonctionnement",11,323,60636
ADMINISTRATIF,"Frais de fonctionnement",11,20,6156
ADMINISTRATIF,"Frais de fonctionnement",11,20,6185
ADMINISTRATIF,"Frais de fonctionnement",11,20,6188
ADMINISTRATIF,"Frais de fonctionnement",11,20,6225
ADMINISTRATIF,"Frais de fonctionnement",11,20,6226
ADMINISTRATIF,"Frais de fonctionnement",11,20,6227
ADMINISTRATIF,"Frais de fonctionnement",11,20,6228
ADMINISTRATIF,"Frais de fonctionnement",11,20,6231
ADMINISTRATIF,"Frais de fonctionnement",11,20,6236
ADMINISTRATIF,"Frais de fonctionnement",11,20,6237
ADMINISTRATIF,"Frais de fonctionnement",11,20,6238
ADMINISTRATIF,"Frais de fonctionnement",68,1,6815
ADMINISTRATIF,"Frais de fonctionnement",11,20,60612
ADMINISTRATIF,"Frais de fonctionnement",11,20,60621
ADMINISTRATIF,"Frais de fonctionnement",11,20,6282
ADMINISTRATIF,"Frais de fonctionnement",11,20,6184
ADMINISTRATIF,"Frais de fonctionnement",11,20,6156
ADMINISTRATIF,"Frais de fonctionnement",11,20,611
ADMINISTRATIF,"Frais de fonctionnement",11,20,6261
ADMINISTRATIF,"Frais de fonctionnement",11,20,6042
ADMINISTRATIF,"Frais de fonctionnement",11,20,60611
ADMINISTRATIF,"Frais de fonctionnement",11,20,6182
ADMINISTRATIF,"Frais de fonctionnement",11,20,6227
ADMINISTRATIF,"Frais de fonctionnement",11,20,6247
ADMINISTRATIF,"Frais de fonctionnement",11,20,6064
ADMINISTRATIF,"Frais de fonctionnement",11,20,62848
ADMINISTRATIF,"Frais de fonctionnement",11,20,6236
ADMINISTRATIF,"Frais de fonctionnement",11,20,6281
ADMINISTRATIF,"Frais de fonctionnement",11,20,60623
ADMINISTRATIF,"Frais de fonctionnement",11,20,6226
ADMINISTRATIF,"Frais de fonctionnement",11,20,6256
ADMINISTRATIF,"Frais de fonctionnement",11,20,60632
ADMINISTRATIF,"Frais de fonctionnement",11,20,60631
ADMINISTRATIF,"Frais de fonctionnement",11,20,6241
ADMINISTRATIF,"Frais de fonctionnement",11,323,6247
ADMINISTRATIF,"Frais de fonctionnement",11,323,6261
ADMINISTRATIF,"Frais de fonctionnement",11,323,60632
ADMINISTRATIF,"Frais de fonctionnement",23,323,2315
ADMINISTRATIF,"Frais de fonctionnement",11,323,6042
ADMINISTRATIF,"Frais de fonctionnement",11,323,6068
ADMINISTRATIF,"Frais de fonctionnement",11,323,6236
ADMINISTRATIF,"Frais de fonctionnement",11,323,6064
ADMINISTRATIF,"Frais de fonctionnement",11,323,6065
ADMINISTRATIF,"Frais de fonctionnement",11,323,6182
ADMINISTRATIF,"Frais de fonctionnement",11,323,6156
ADMINISTRATIF,"Frais de fonctionnement",11,323,6281
ADMINISTRATIF,"Frais de fonctionnement",11,48,6135
ADMINISTRATIF,"Frais de fonctionnement",11,48,6241
ADMINISTRATIF,"Frais de fonctionnement",11,48,6233
ADMINISTRATIF,"Frais de fonctionnement",11,48,6068
ADMINISTRATIF,"Frais de fonctionnement",11,48,6247
ADMINISTRATIF,"Frais de fonctionnement",11,48,616
ADMINISTRATIF,"Frais de fonctionnement",11,48,6065
ADMINISTRATIF,"Frais de fonctionnement",11,48,6185
ADMINISTRATIF,"Frais de fonctionnement",11,48,6188
ADMINISTRATIF,"Frais de fonctionnement",11,48,6226
ADMINISTRATIF,"Frais de fonctionnement",11,48,60623
ADMINISTRATIF,"Frais de fonctionnement",11,20,627
ADMINISTRATIF,"Frais de fonctionnement",11,20,6225
ADMINISTRATIF,"Frais de fonctionnement",11,20,6237
ADMINISTRATIF,"Frais de fonctionnement",11,20,6185
ADMINISTRATIF,"Frais de fonctionnement",11,20,61551
ADMINISTRATIF,"Frais de fonctionnement",11,20,6228
ADMINISTRATIF,"Frais de fonctionnement",11,20,6251
ADMINISTRATIF,"Frais de fonctionnement",11,20,60628
ADMINISTRATIF,"Frais de fonctionnement",11,20,6244
ADMINISTRATIF,"Frais de fonctionnement",11,20,6248
ADMINISTRATIF,"Frais de fonctionnement",11,20,6041
ADMINISTRATIF,"Frais de fonctionnement",11,20,60633
ADMINISTRATIF,"Frais de fonctionnement",11,20,6188
ADMINISTRATIF,"Frais de fonctionnement",11,20,6255
ADMINISTRATIF,Dette,16,1,165
ADMINISTRATIF,Dette,16,1,1641
ADMINISTRATIF,Dette,16,1,1643
ADMINISTRATIF,Dette,16,1,16441
ADMINISTRATIF,Dette,16,1,16449
ADMINISTRATIF,Dette,16,1,16818
ADMINISTRATIF,Dette,16,1,168751
ADMINISTRATIF,Dette,16,1,1641
ADMINISTRATIF,Dette,16,1,16441
ADMINISTRATIF,Dette,16,1,1643
ADMINISTRATIF,Dette,16,1,16818
ADMINISTRATIF,Dette,16,1,165
ADMINISTRATIF,Élus,656,1,6561
ADMINISTRATIF,Divers,20,1,20
ADMINISTRATIF,Divers,22,1,22
ADMINISTRATIF,Divers,40,1,192
ADMINISTRATIF,Divers,11,20,6257
ADMINISTRATIF,Divers,11,20,617
ADMINISTRATIF,Divers,11,20,6231
ADMINISTRATIF,Divers,11,48,6042
ADMINISTRATIF,Divers,11,48,6281
ADMINISTRATIF,Divers,1,1,1
ADMINISTRATIF,Divers,11,1,6288
ADMINISTRATIF,Divers,23,22,2318
ADMINISTRATIF,Divers,11,48,6251
ADMINISTRATIF,Divers,11,48,6236
ADMINISTRATIF,Divers,21,48,2184
ADMINISTRATIF,Divers,21,48,2188
ADMINISTRATIF,Communication,11,20,6238
ADMINISTRATIF,Communication,11,20,6232
ADMINISTRATIF,Communication,11,22,6257
ADMINISTRATIF,Communication,11,23,6257
ADMINISTRATIF,Communication,11,48,6257
ADMINISTRATIF,Communication,11,323,6257
ADMINISTRATIF,Communication,11,48,6238
ADMINISTRATIF,Communication,20,23,205
ADMINISTRATIF,Communication,21,23,2188
ADMINISTRATIF,Communication,21,23,2183
ADMINISTRATIF,Communication,11,23,6184
ADMINISTRATIF,Communication,11,23,6228
ADMINISTRATIF,Communication,11,23,6247
ADMINISTRATIF,Communication,11,23,6251
ADMINISTRATIF,Communication,11,23,6281
ADMINISTRATIF,Communication,11,23,61558
ADMINISTRATIF,Communication,11,23,6156
ADMINISTRATIF,Communication,11,23,6358
ADMINISTRATIF,Communication,11,23,6288
ADMINISTRATIF,Communication,11,23,6237
ADMINISTRATIF,Communication,11,23,6042
ADMINISTRATIF,Communication,11,23,6231
ADMINISTRATIF,Communication,11,23,6236
ADMINISTRATIF,Communication,11,23,6182
ADMINISTRATIF,Communication,11,23,6226
ADMINISTRATIF,Communication,11,23,6064
ADMINISTRATIF,Communication,11,23,6135
ADMINISTRATIF,Communication,11,23,6238
ADMINISTRATIF,Communication,11,23,6068
ADMINISTRATIF,Communication,11,23,6241
ADMINISTRATIF,Subventions,65,48,6574
ADMINISTRATIF,Subventions,65,48,65738
ADMINISTRATIF,Subventions,65,48,657348
ADMINISTRATIF,Subventions,67,48,6714
ADMINISTRATIF,Subventions,204,48,2042
ADMINISTRATIF,Subventions,204,48,20418
CULTURE,Divers,23,323,2316
