EXERCICE,D_R,I_F,ORDRE_O_N,CODE_CHAPITRE,LIBELLE_CHAPITRE,CODE_SS_FONCTION,LIBELLE_SS_FONCTION,CODE_ARTICLE,LIBELLE_ARTICLE,MONTANT
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6188,AUTRES FRAIS DIVERS,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6225,INDEMNITES AU COMPTABLE ET AUX REGISSEURS,10000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6226,HONORAIRES,118500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6227,FRAIS D'ACTES ET DE CONTENTIEUX,234500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6228,DIVERS - REMUNERATIONS INTERMEDIAIRES & HONORAIRES,6765
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6231,ANNONCES ET INSERTIONS,287500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6232,FETES ET CEREMONIES,17000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6236,CATALOGUES ET IMPRIMES,180500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6237,PUBLICATIONS,10000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6238,"DIVERS - PUBLICITE, RELATIONS PUBLIQUES",100000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6241,TRANSPORT DE BIENS,20000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6244,TRANSPORTS ADMINISTRATIFS,5000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6247,TRANSPORTS COLLECTIFS,233220
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6248,DIVERS TRANSPORTS,4000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6251,VOYAGES ET DEPLACEMENTS,6500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6255,FRAIS DE DEMENAGEMENT,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6256,MISSIONS,99800
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6257,RECEPTIONS,481200
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6261,FRAIS D'AFFRANCHISSEMENTS,638268
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6262,FRAIS DE TELECOMMUNICATIONS,1653000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,627,SERVICES BANCAIRES ET ASSIMILES,10000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6281,CONCOURS DIVERS (COTISATIONS),152523
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6282,FRAIS DE GARDIENNAGE,799080
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6283,FRAIS DE NETTOYAGE DES LOCAUX,556800
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,62848,REDEVANCES POUR AUTRES PRESTATIONS DE SERVICES,197600
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,62876,REMBOURSEMENTS DE FRAIS AU GFP DE RATTACHEMENT,4937944
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6288,DIVERS - AUTRES SERVICES EXTERIEURS,683400
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,63512,TAXES FONCIERES,1400000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6355,TAXES ET IMPOTS SUR LES VEHICULES,8800
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6358,AUTRES DROITS - AUTRES IMPOTS ET TAXES,6155
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,637,"AUTRES IMPOTS, TAXES (AUTRES ORGANISMES)",500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,6042,ACHAT DE PRESTATIONS DE SERVICES,120850
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,60623,ALIMENTATION,18000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,60631,FOURNITURES D'ENTRETIEN,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,60632,FOURNITURES DE PETIT EQUIPEMENT,200
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,60636,VETEMENTS DE TRAVAIL,5000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,6064,FOURNITURES ADMINISTRATIVES,28000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,6068,AUTRES MATIERES ET FOURNITURES,1000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,6132,LOCATIONS IMMOBILIERES,6000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,6135,LOCATIONS MOBILIERES,15000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,61558,ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS,5300
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,6236,CATALOGUES ET IMPRIMES,19000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,6238,"DIVERS - PUBLICITE, RELATIONS PUBLIQUES",17280
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,6241,TRANSPORT DE BIENS,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,6247,TRANSPORTS COLLECTIFS,7230
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,6257,RECEPTIONS,20250
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,22,Administration générale de l'Etat,6288,DIVERS - AUTRES SERVICES EXTERIEURS,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6042,ACHAT DE PRESTATIONS DE SERVICES,848455
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6064,FOURNITURES ADMINISTRATIVES,13860
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6068,AUTRES MATIERES ET FOURNITURES,8500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6132,LOCATIONS IMMOBILIERES,1000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6135,LOCATIONS MOBILIERES,13000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",61522,ENTRETIEN ET REPARATIONS - BATIMENTS,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",61558,ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS,1000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6156,MAINTENANCE,100
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6182,DOCUMENTATION GENERALE ET TECHNIQUE,39425
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6184,VERSEMENTS A DES ORGANISMES DE FORMATION,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6226,HONORAIRES,20000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6228,DIVERS - REMUNERATIONS INTERMEDIAIRES & HONORAIRES,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6231,ANNONCES ET INSERTIONS,392625
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6236,CATALOGUES ET IMPRIMES,188129
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6237,PUBLICATIONS,885401
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6238,"DIVERS - PUBLICITE, RELATIONS PUBLIQUES",9000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6241,TRANSPORT DE BIENS,2600
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6247,TRANSPORTS COLLECTIFS,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6251,VOYAGES ET DEPLACEMENTS,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6257,RECEPTIONS,1541
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6281,CONCOURS DIVERS (COTISATIONS),1000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6283,FRAIS DE NETTOYAGE DES LOCAUX,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6288,DIVERS - AUTRES SERVICES EXTERIEURS,1400
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6358,AUTRES DROITS - AUTRES IMPOTS ET TAXES,100
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",637,"AUTRES IMPOTS, TAXES (AUTRES ORGANISMES)",0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,6042,ACHAT DE PRESTATIONS DE SERVICES,36000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,60624,PRODUITS DE TRAITEMENT,2000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,60631,FOURNITURES D'ENTRETIEN,1500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,60632,FOURNITURES DE PETIT EQUIPEMENT,2500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,60633,FOURNITURES DE VOIRIE,5000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,60636,VETEMENTS DE TRAVAIL,3500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,6064,FOURNITURES ADMINISTRATIVES,1700
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,6068,AUTRES MATIERES ET FOURNITURES,8900
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,611,CONTRATS PRESTATIONS DE SERVICES AVEC ENTREPRISES,22000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,6135,LOCATIONS MOBILIERES,24000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,61558,ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,6232,FETES ET CEREMONIES,2600
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,6236,CATALOGUES ET IMPRIMES,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,6281,CONCOURS DIVERS (COTISATIONS),1400
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,6288,DIVERS - AUTRES SERVICES EXTERIEURS,12000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6042,ACHAT DE PRESTATIONS DE SERVICES,46270
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,60623,ALIMENTATION,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6065,"LIVRES, DISQUES, CASSETTES",0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6068,AUTRES MATIERES ET FOURNITURES,500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6135,LOCATIONS MOBILIERES,2250
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,616,PRIMES D'ASSURANCE,200
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6185,FRAIS DE COLLOQUES ET SEMINAIRES,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6188,AUTRES FRAIS DIVERS,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6226,HONORAIRES,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6233,FOIRES ET EXPOSITIONS,1000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6236,CATALOGUES ET IMPRIMES,4900
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6238,"DIVERS - PUBLICITE, RELATIONS PUBLIQUES",0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6241,TRANSPORT DE BIENS,2000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6247,TRANSPORTS COLLECTIFS,500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6251,VOYAGES ET DEPLACEMENTS,8516
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6257,RECEPTIONS,20500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6281,CONCOURS DIVERS (COTISATIONS),37000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6283,FRAIS DE NETTOYAGE DES LOCAUX,15000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,637,"AUTRES IMPOTS, TAXES (AUTRES ORGANISMES)",3299
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6042,ACHAT DE PRESTATIONS DE SERVICES,71250
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,60623,ALIMENTATION,400
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,60632,FOURNITURES DE PETIT EQUIPEMENT,1500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,60636,VETEMENTS DE TRAVAIL,46500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6068,AUTRES MATIERES ET FOURNITURES,1500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,611,CONTRATS PRESTATIONS DE SERVICES AVEC ENTREPRISES,1007834
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6132,LOCATIONS IMMOBILIERES,1364
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6135,LOCATIONS MOBILIERES,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,61522,ENTRETIEN ET REPARATIONS - BATIMENTS,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,61558,ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS,2000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6156,MAINTENANCE,10000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6236,CATALOGUES ET IMPRIMES,38800
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6247,TRANSPORTS COLLECTIFS,810
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6257,RECEPTIONS,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,627,SERVICES BANCAIRES ET ASSIMILES,7360
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6281,CONCOURS DIVERS (COTISATIONS),3050
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,62878,REMBOURSEMENT DE FRAIS/ A D'AUTRES ORGANISMES,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6288,DIVERS - AUTRES SERVICES EXTERIEURS,7400
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6358,AUTRES DROITS - AUTRES IMPOTS ET TAXES,120
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,112,Police Municipale,6042,ACHAT DE PRESTATIONS DE SERVICES,78650
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,112,Police Municipale,60623,ALIMENTATION,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,112,Police Municipale,60632,FOURNITURES DE PETIT EQUIPEMENT,2000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,112,Police Municipale,60636,VETEMENTS DE TRAVAIL,46120
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,112,Police Municipale,6068,AUTRES MATIERES ET FOURNITURES,1000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,112,Police Municipale,61558,ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6042,ACHAT DE PRESTATIONS DE SERVICES,51072
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,60623,ALIMENTATION,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,60631,FOURNITURES D'ENTRETIEN,161500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,60632,FOURNITURES DE PETIT EQUIPEMENT,91000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,60636,VETEMENTS DE TRAVAIL,63000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6064,FOURNITURES ADMINISTRATIVES,25000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6067,FOURNITURES SCOLAIRES,565000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6068,AUTRES MATIERES ET FOURNITURES,126000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,611,CONTRATS PRESTATIONS DE SERVICES AVEC ENTREPRISES,125000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6132,LOCATIONS IMMOBILIERES,1500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,61558,ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS,25000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6156,MAINTENANCE,87105
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6188,AUTRES FRAIS DIVERS,500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6228,DIVERS - REMUNERATIONS INTERMEDIAIRES & HONORAIRES,1300
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6241,TRANSPORT DE BIENS,10000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6247,TRANSPORTS COLLECTIFS,25000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6255,FRAIS DE DEMENAGEMENT,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6257,RECEPTIONS,1000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6262,FRAIS DE TELECOMMUNICATIONS,54000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6283,FRAIS DE NETTOYAGE DES LOCAUX,91000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,62878,REMBOURSEMENT DE FRAIS/ A D'AUTRES ORGANISMES,321755
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,6042,ACHAT DE PRESTATIONS DE SERVICES,13300
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,60623,ALIMENTATION,3257166
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,60631,FOURNITURES D'ENTRETIEN,25600
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,60632,FOURNITURES DE PETIT EQUIPEMENT,30000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,60636,VETEMENTS DE TRAVAIL,6000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,6068,AUTRES MATIERES ET FOURNITURES,120000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,611,CONTRATS PRESTATIONS DE SERVICES AVEC ENTREPRISES,2500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,6135,LOCATIONS MOBILIERES,110000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,61558,ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS,500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,6156,MAINTENANCE,2000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,6281,CONCOURS DIVERS (COTISATIONS),0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,6283,FRAIS DE NETTOYAGE DES LOCAUX,20900
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,62875,REMBOURSEMENTS DE FRAIS AUX COMMUNES MEMBRES DU GFP,29000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,62878,REMBOURSEMENT DE FRAIS/ A D'AUTRES ORGANISMES,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,6288,DIVERS - AUTRES SERVICES EXTERIEURS,16500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,254,Médecine scolaire,6042,ACHAT DE PRESTATIONS DE SERVICES,3100
